통합시군구코드,기부자명,기부금액
강서구,(주) 롯데리아-크리스피크림도넛 하단,7815383
강서구,(주)네이처스토어,13777000
강서구,(주)대호식품,642000
강서구,(주)바로,1145000
강서구,(주)브레드타임,523700
강서구,(주)비에스엠푸드,7660000
강서구,(주)신화팝빌리지,21754894
강서구,(주)아진에프앤디,310000
강서구,(주)영산레저개발 던킨도너츠,5926500
강서구,(주)오뚜기,170546298
강서구,(주)인터마린,6683000
강서구,(주)팡마르,931300
강서구,(주)합천식품,5206820
강서구,GSTrade,1881600
강서구,개인기부자,15913689
강서구,경복유통,2523000
강서구,궁잔기지떡 강서점,2533500
강서구,금촌식품,5207546
강서구,금화유통,879280
강서구,꿈꾸는요리사,6864776
강서구,농산식품,5082000
강서구,늘푸드,1270500
강서구,더블스윗(Double Sweet),6000000
강서구,돈키오태,245000
강서구,두손반찬,8182172
강서구,또아식빵,6963357
강서구,러쉬커피시스템,19242700
강서구,런치타임,5651330
강서구,롤뺑브레드,9222927
강서구,메종지미지니팍,19139309
강서구,명지점프파이어,211779
강서구,미미당,2607150
강서구,미소유통,1496000
강서구,민주푸드써비스,25053460
강서구,바로에프에스,1942200
강서구,베이커스245,47007961
강서구,보운기업,4800000
강서구,부산광역시농업기술센터,900000
강서구,부산그린영농조합법인,947000
강서구,부산사회복지공동모금회,258000
강서구,부성유통,5395500
강서구,블럭제빵소,8264070
강서구,빵굽는남자,5361244
강서구,빵긋한 하루,15217284
강서구,삼성물류,1520000
강서구,삼진식품,40000
강서구,성원축산유통,200000
강서구,세진푸드,5882500
강서구,송원상사,1201500
강서구,신남푸드,2040000
강서구,신원식품,2710000
강서구,에이치앤에프,272728
강서구,영양제과 주식회사,2552000
강서구,와싸,182000
강서구,우리반찬,324363
강서구,위아 글로벌,5703600
강서구,유동커피 앤 찰리베이커리 명지점,11394289
강서구,이마트24 명지국제로점,172586
강서구,일광제과,24070000
강서구,일신,3640800
강서구,잇츠팡(it's pan),6114900
강서구,자연드림,94569064
강서구,자연드림(국제신도시점),16872628
강서구,주식회사 달그락코퍼레이션,3850000
강서구,주식회사 대선,14090720
강서구,주식회사 도들,7651000
강서구,주식회사 부광푸드,10560000
강서구,주식회사 푸드업,880000
강서구,주식회사하늘처럼,2500000
