통합시군구코드,기부자명,기부건수
강서구,(주) 롯데리아-크리스피크림도넛 하단,277
강서구,(주)네이처스토어,10
강서구,(주)대호식품,4
강서구,(주)바로,1
강서구,(주)브레드타임,4
강서구,(주)비에스엠푸드,3
강서구,(주)신화팝빌리지,9
강서구,(주)아진에프앤디,1
강서구,(주)영산레저개발 던킨도너츠,72
강서구,(주)오뚜기,4977
강서구,(주)인터마린,6
강서구,(주)팡마르,22
강서구,(주)합천식품,2
강서구,GSTrade,1
강서구,개인기부자,258
강서구,경복유통,1
강서구,궁잔기지떡 강서점,11
강서구,금촌식품,7
강서구,금화유통,3
강서구,꿈꾸는요리사,75
강서구,농산식품,2
강서구,늘푸드,1
강서구,더블스윗(Double Sweet),1
강서구,돈키오태,1
강서구,두손반찬,269
강서구,또아식빵,171
강서구,러쉬커피시스템,50
강서구,런치타임,4
강서구,롤뺑브레드,71
강서구,메종지미지니팍,12
강서구,명지점프파이어,18
강서구,미미당,14
강서구,미소유통,2
강서구,민주푸드써비스,486
강서구,바로에프에스,8
강서구,베이커스245,648
강서구,보운기업,8
강서구,부산광역시농업기술센터,4
강서구,부산그린영농조합법인,2
강서구,부산사회복지공동모금회,1
강서구,부성유통,4
강서구,블럭제빵소,62
강서구,빵굽는남자,92
강서구,빵긋한 하루,275
강서구,삼성물류,2
강서구,삼진식품,2
강서구,성원축산유통,1
강서구,세진푸드,181
강서구,송원상사,6
강서구,신남푸드,1
강서구,신원식품,4
강서구,에이치앤에프,8
강서구,영양제과 주식회사,2
강서구,와싸,1
강서구,우리반찬,6
강서구,위아 글로벌,6
강서구,유동커피 앤 찰리베이커리 명지점,109
강서구,이마트24 명지국제로점,11
강서구,일광제과,27
강서구,일신,4
강서구,잇츠팡(it's pan),33
강서구,자연드림,1033
강서구,자연드림(국제신도시점),429
강서구,주식회사 달그락코퍼레이션,1
강서구,주식회사 대선,31
강서구,주식회사 도들,10
강서구,주식회사 부광푸드,1
강서구,주식회사 푸드업,3
강서구,주식회사하늘처럼,1
강서구,진선진미베이커리,5
강서구,진솔푸드,1
강서구,케이엠유통,1
강서구,코람,1
강서구,코우테이,1
강서구,코웰음료 (주),2
강서구,코웰음료(주),1
강서구,코코호도,10
강서구,크리스피크림부산명지점,406
강서구,파리바게트 명지퀸덤점(2015),887
강서구,파리바게트 부산신호점,396
강서구,파리바게트 신호점,33
