,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
0,봄동떡방,음식,떡류 제조업,동구,부산광역시 동구 중앙대로361번길 40,129.046162070694,35.1291810952931
1,새마을상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동구,부산광역시 동구 영초길 179-1,129.035602471422,35.1166882467397
2,선진축산정육시장통,소매,육류 소매업,사하구,부산광역시 사하구 승학로 64,128.9751572908,35.1048493239028
3,쵸리네,소매,"신선, 냉동 및 기타 수산물 소매업",수영구,부산광역시 수영구 광안해변로312번길 60,129.127886619068,35.1542367953902
4,픽미픽미아이스,음식,"빵류, 과자류 및 당류 소매업",사상구,부산광역시 사상구 가야대로330번길 90,129.009205740299,35.1467562737417
5,본힐링하우스,소매,건강 보조식품 소매업,수영구,부산광역시 수영구 광안해변로277번길 11,129.124065042122,35.1564716932005
6,애가타지,소매,"빵류, 과자류 및 당류 소매업",영도구,부산광역시 영도구 영선대로 79,129.041941209199,35.088077511778
7,메가탑농수산,소매,"채소, 과실 및 뿌리작물 소매업",강서구,부산광역시 강서구 명지국제1로 56-3,128.906685582678,35.0935812211956
8,더마트,소매,슈퍼마켓,동래구,부산광역시 동래구 아시아드대로255번길 19,129.067758758572,35.206728617326
9,이롬황성주생식국제신도시1지점,소매,건강 보조식품 소매업,강서구,부산광역시 강서구 명지국제8로 265,128.921839838523,35.0982174084622
10,띵땅상사,소매,기타 식료품 소매업,남구,부산광역시 남구 용소로40번길 22-1,129.099813556224,35.1339702310212
11,토끼와거북이,소매,조리 반찬류 소매업,사하구,부산광역시 사하구 낙동대로535번길 28,128.962994308505,35.1114997870911
12,태양수산,소매,"신선, 냉동 및 기타 수산물 소매업",수영구,부산광역시 수영구 과정로55번길 7,129.106869932336,35.1761810757676
13,진주식품,소매,조리 반찬류 소매업,수영구,부산광역시 수영구 과정로55번길 8,129.106850177611,35.176343505547
14,남북유통,소매,기타 음ㆍ식료품 위주 종합 소매업,부산진구,부산광역시 부산진구 당감로10번길 7,129.040203603108,35.1627643062008
15,가나유통,소매,기타 식료품 소매업,수영구,부산광역시 수영구 망미번영로55번길 112,129.108297815346,35.1770423619607
16,종근당건강헬스벨스토리부산남항점,소매,건강 보조식품 소매업,영도구,부산광역시 영도구 남항로 22-1,129.038940038261,35.0892300181415
17,청명상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 새벽시장로56번길 37,128.979403629514,35.1535359800463
18,봉아이스크림할인점좌동뜨란채점,소매,"빵류, 과자류 및 당류 소매업",해운대구,부산광역시 해운대구 대천로67번길 12,129.169034758418,35.1735509118265
19,당리정육점,소매,육류 소매업,사하구,부산광역시 사하구 제석로 62,128.975005976491,35.1059592725762
20,메종송송,소매,기타 식료품 소매업,연제구,부산광역시 연제구 아시아드대로22번길 13,129.070131081425,35.1874811214437
21,와마트덕포점,소매,슈퍼마켓,사상구,부산광역시 사상구 사상로 331,128.983803033055,35.1743586999452
22,와미부,소매,슈퍼마켓,해운대구,부산광역시 해운대구 달맞이길62번길 38,129.171212412397,35.1585219079261
23,아리랑,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 구포시장3길 5,129.003596014843,35.2082419304508
24,오레시피사상점,소매,조리 반찬류 소매업,사상구,부산광역시 사상구 사상로 232-5,128.983359757802,35.1658080353611
25,금정담뱃집,소매,기타 음ㆍ식료품 위주 종합 소매업,금정구,부산광역시 금정구 공해1길 2,129.05623720314,35.2439486146311
26,아삭김치,소매,"채소, 과실 및 뿌리작물 소매업",수영구,부산광역시 수영구 망미배산로10번길 45,129.106691614938,35.1759844004967
27,김천상회,소매,"채소, 과실 및 뿌리작물 소매업",동래구,부산광역시 동래구 동래시장길 14,129.085961867513,35.203826518793
28,하신수산,소매,"신선, 냉동 및 기타 수산물 소매업",중구,부산광역시 중구 자갈치해안로 52,129.030600002535,35.0966476355156
