,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
13,MA010120220805431585,봄동떡방,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26170,동구,26170570,수정2동,2617010200,수정동,2617010200102800001,1,대지,280,1.0,부산광역시 동구 수정동 280-1,261704181436,부산광역시 동구 중앙대로361번길,40,,2617010200102800001002191,,부산광역시 동구 중앙대로361번길 40,601812,48781,,1,,129.046162070694,35.1291810952931
26,MA010120220805433921,새마을상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26170,동구,26170510,초량1동,2617010100,초량동,2617010100109940262,1,대지,994,262.0,부산광역시 동구 초량동 994-262,261704006006,부산광역시 동구 영초길,179,1.0,2617010100109940262005039,,부산광역시 동구 영초길 179-1,601830,48808,,,,129.035602471422,35.1166882467397
37,MA010120220805433370,선진축산정육시장통,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26380,사하구,26380550,당리동,2638010200,당리동,2638010200103170017,1,대지,317,17.0,부산광역시 사하구 당리동 317-17,263803134017,부산광역시 사하구 승학로,64,,2638010200103170017028799,,부산광역시 사하구 승학로 64,604828,49328,,,,128.9751572908,35.1048493239028
71,MA010120220805436912,쵸리네,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101130051,1,대지,113,51.0,부산광역시 수영구 민락동 113-51,265004214077,부산광역시 수영구 광안해변로312번길,60,,2650010300101130051000001,민락어민활어직판장,부산광역시 수영구 광안해변로312번길 60,613827,48281,,,,129.127886619068,35.1542367953902
113,MA010120220805441355,픽미픽미아이스,,I2,음식,I201,한식,I20101,백반/한정식,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26530,사상구,26530660,주례2동,2653010600,주례동,2653010600100920078,1,대지,92,78.0,부산광역시 사상구 주례동 92-78,265304217022,부산광역시 사상구 가야대로330번길,90,,2653010600100920078032177,이모네집,부산광역시 사상구 가야대로330번길 90,617012,47008,,1,,129.009205740299,35.1467562737417
145,MA010120220805444678,본힐링하우스,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101760027,1,대지,176,27.0,부산광역시 수영구 민락동 176-27,265004214069,부산광역시 수영구 광안해변로277번길,11,,2650010300101760027016100,,부산광역시 수영구 광안해변로277번길 11,613828,48286,,1,,129.124065042122,35.1564716932005
169,MA010120220805447757,애가타지,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26200,영도구,26200540,영선1동,2620010900,영선동2가,2620010900100580003,1,대지,58,3.0,부산광역시 영도구 영선동2가 58-3,262002128001,부산광역시 영도구 영선대로,79,,2620010900100580003000001,,부산광역시 영도구 영선대로 79,606042,49056,,,,129.041941209199,35.088077511778
184,MA010120220805447211,메가탑농수산,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400135980005,1,대지,3598,5.0,부산광역시 강서구 명지동 3598-5,264403350851,부산광역시 강서구 명지국제1로,56,3.0,2644010400135980005000001,,부산광역시 강서구 명지국제1로 56-3,618200,46726,,,,128.906685582678,35.0935812211956
243,MA010120220805454413,더마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26260,동래구,26260570,온천3동,2626010800,온천동,2626010800112920000,1,대지,1292,,부산광역시 동래구 온천동 1292,262604190338,부산광역시 동래구 아시아드대로255번길,19,,2626010800112920000011343,,부산광역시 동래구 아시아드대로255번길 19,607839,47846,,,,129.067758758572,35.206728617326
266,MA010120220805455052,이롬황성주생식국제신도시1지점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400133580005,1,대지,3358,5.0,부산광역시 강서구 명지동 3358-5,264403350868,부산광역시 강서구 명지국제8로,265,,2644010400133580005000001,SM빌딩,부산광역시 강서구 명지국제8로 265,618200,46773,,7,,128.921839838523,35.0982174084622
